participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started_utc;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.payoff;player.cooperate;player.descrip_cooperate;group.id_in_subsession;group.levels;group.selected_round;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;i0g0hve8;;0;39;39;results;Final;2024-11-08 18:05:35.472990;1;;;56000.0;1;;16000.0;1;;1;1,0,2,3;2;1;k1hxkkab;;;;;0
2;3gfleihj;;0;39;39;results;Final;2024-11-08 18:05:35.490150;1;;;64000.0;2;;16000.0;1;;1;1,0,2,3;2;1;k1hxkkab;;;;;0
3;sc8lbs96;;0;39;39;results;Final;2024-11-08 18:05:35.500255;1;;;64000.0;1;;16000.0;1;;2;2,1,3,0;4;1;k1hxkkab;;;;;0
4;tozx4h6f;;0;39;39;results;Final;2024-11-08 18:05:35.511386;1;;;64000.0;2;;16000.0;1;;2;2,1,3,0;4;1;k1hxkkab;;;;;0
5;t38ifg4p;;0;39;39;results;Final;2024-11-08 18:05:35.518061;1;;;64000.0;1;;16000.0;1;;3;2,1,0,3;2;1;k1hxkkab;;;;;0
6;vdz27tkv;;0;39;39;results;Final;2024-11-08 18:05:35.525780;1;;;64000.0;2;;16000.0;1;;3;2,1,0,3;2;1;k1hxkkab;;;;;0
7;2av5nbe5;;0;39;39;results;Final;2024-11-08 18:05:35.549595;1;;;48000.0;1;;8000.0;0;;4;3,0,2,1;3;1;k1hxkkab;;;;;0
8;akn7tcv5;;0;39;39;results;Final;2024-11-08 18:05:35.687425;1;;;64000.0;2;;8000.0;1;;4;3,0,2,1;3;1;k1hxkkab;;;;;0
9;fewonbrz;;0;39;39;results;Final;2024-11-08 18:05:35.716452;1;;;80000.0;1;;16000.0;1;;5;0,1,3,2;4;1;k1hxkkab;;;;;0
10;cqd95f9g;;0;39;39;results;Final;2024-11-08 18:05:35.708030;1;;;40000.0;2;;16000.0;1;;5;0,1,3,2;4;1;k1hxkkab;;;;;0
11;ab0ukpg2;;0;39;39;results;Final;2024-11-08 18:05:35.743446;1;;;72000.0;1;;16000.0;1;;6;0,1,2,3;1;1;k1hxkkab;;;;;0
12;ixp6t6rj;;0;39;39;results;Final;2024-11-08 18:05:35.807287;1;;;56000.0;2;;16000.0;1;;6;0,1,2,3;1;1;k1hxkkab;;;;;0
1;i0g0hve8;;0;39;39;results;Final;2024-11-08 18:05:35.472990;1;;;56000.0;1;;16000.0;1;;1;0,3,1,2;3;2;k1hxkkab;;;;;0
2;3gfleihj;;0;39;39;results;Final;2024-11-08 18:05:35.490150;1;;;64000.0;2;;16000.0;1;;1;0,3,1,2;3;2;k1hxkkab;;;;;0
3;sc8lbs96;;0;39;39;results;Final;2024-11-08 18:05:35.500255;1;;;64000.0;1;;16000.0;1;;2;3,0,2,1;1;2;k1hxkkab;;;;;0
4;tozx4h6f;;0;39;39;results;Final;2024-11-08 18:05:35.511386;1;;;64000.0;2;;16000.0;1;;2;3,0,2,1;1;2;k1hxkkab;;;;;0
5;t38ifg4p;;0;39;39;results;Final;2024-11-08 18:05:35.518061;1;;;64000.0;1;;16000.0;1;;3;0,2,3,1;4;2;k1hxkkab;;;;;0
6;vdz27tkv;;0;39;39;results;Final;2024-11-08 18:05:35.525780;1;;;64000.0;2;;16000.0;1;;3;0,2,3,1;4;2;k1hxkkab;;;;;0
7;2av5nbe5;;0;39;39;results;Final;2024-11-08 18:05:35.549595;1;;;48000.0;1;;16000.0;1;;4;3,0,1,2;4;2;k1hxkkab;;;;;0
8;akn7tcv5;;0;39;39;results;Final;2024-11-08 18:05:35.687425;1;;;64000.0;2;;16000.0;1;;4;3,0,1,2;4;2;k1hxkkab;;;;;0
9;fewonbrz;;0;39;39;results;Final;2024-11-08 18:05:35.716452;1;;;80000.0;1;;16000.0;1;;5;2,0,1,3;2;2;k1hxkkab;;;;;0
10;cqd95f9g;;0;39;39;results;Final;2024-11-08 18:05:35.708030;1;;;40000.0;2;;16000.0;1;;5;2,0,1,3;2;2;k1hxkkab;;;;;0
11;ab0ukpg2;;0;39;39;results;Final;2024-11-08 18:05:35.743446;1;;;72000.0;1;;16000.0;1;;6;1,3,2,0;3;2;k1hxkkab;;;;;0
12;ixp6t6rj;;0;39;39;results;Final;2024-11-08 18:05:35.807287;1;;;56000.0;2;;16000.0;1;;6;1,3,2,0;3;2;k1hxkkab;;;;;0
1;i0g0hve8;;0;39;39;results;Final;2024-11-08 18:05:35.472990;1;;;56000.0;1;;24000.0;0;;1;1,3,2,0;2;3;k1hxkkab;;;;;0
2;3gfleihj;;0;39;39;results;Final;2024-11-08 18:05:35.490150;1;;;64000.0;2;;8000.0;1;;1;1,3,2,0;2;3;k1hxkkab;;;;;0
3;sc8lbs96;;0;39;39;results;Final;2024-11-08 18:05:35.500255;1;;;64000.0;1;;16000.0;1;;2;0,2,3,1;1;3;k1hxkkab;;;;;0
4;tozx4h6f;;0;39;39;results;Final;2024-11-08 18:05:35.511386;1;;;64000.0;2;;16000.0;1;;2;0,2,3,1;1;3;k1hxkkab;;;;;0
5;t38ifg4p;;0;39;39;results;Final;2024-11-08 18:05:35.518061;1;;;64000.0;1;;16000.0;1;;3;3,2,1,0;1;3;k1hxkkab;;;;;0
6;vdz27tkv;;0;39;39;results;Final;2024-11-08 18:05:35.525780;1;;;64000.0;2;;16000.0;1;;3;3,2,1,0;1;3;k1hxkkab;;;;;0
7;2av5nbe5;;0;39;39;results;Final;2024-11-08 18:05:35.549595;1;;;48000.0;1;;8000.0;1;;4;2,3,0,1;2;3;k1hxkkab;;;;;0
8;akn7tcv5;;0;39;39;results;Final;2024-11-08 18:05:35.687425;1;;;64000.0;2;;24000.0;0;;4;2,3,0,1;2;3;k1hxkkab;;;;;0
9;fewonbrz;;0;39;39;results;Final;2024-11-08 18:05:35.716452;1;;;80000.0;1;;24000.0;0;;5;0,3,1,2;2;3;k1hxkkab;;;;;0
10;cqd95f9g;;0;39;39;results;Final;2024-11-08 18:05:35.708030;1;;;40000.0;2;;8000.0;1;;5;0,3,1,2;2;3;k1hxkkab;;;;;0
11;ab0ukpg2;;0;39;39;results;Final;2024-11-08 18:05:35.743446;1;;;72000.0;1;;24000.0;0;;6;1,0,3,2;2;3;k1hxkkab;;;;;0
12;ixp6t6rj;;0;39;39;results;Final;2024-11-08 18:05:35.807287;1;;;56000.0;2;;8000.0;1;;6;1,0,3,2;2;3;k1hxkkab;;;;;0
