participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started_utc;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.payoff;player.agree;player.consentimiento;player.posicion_afin;player.exp_emp;player.posicion_final;player.calificacion_usted;player.calificacion_pareja;player.calificacion_jugador_afavor;player.calificacion_jugador_encontra;player.calificacion_otros;player.pago_cal_usted;player.pago_aprobacion_social;player.descrip_calificacion;group.id_in_subsession;group.treatment;group.has_arrived;group.arg_a_favor;group.arg_en_contra;group.rep_a_favor;group.rep_en_contra;group.arg_cal_afavor;group.arg_cal_contra;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;i0g0hve8;;0;39;39;results;Final;2024-11-08 18:05:35.472990;1;;;56000.0;1;;0.0;1;1;0;3;2;6000;4000;2000;8000;4000;12000;4000;De acuerdo a la argumentación, ya que algunos decían que estaban a favor de la prohibición, pero luego decían otras cosas que parecían que están encontrar de la prohibición. También tuve en cuenta el mensaje del argumento, ya que algunos parecían  ser bastante buenos;1;0;0;Debido a que se generan residuos en las calles por la manipulación de la basura, por lo que podría empeorar el estado de dichas basuras en las calles, al dejar basura fuera de las bolsas, pueden llegar animales como ratas.  Al prohibir dicha manipulación, el estado estará en la disposición total de evitar estos tipo de escombros, mejorando la calidad de los habitantes y la ciudad. ;Hay muchos recicladores informales que quedarán en vulnerabilidad, además, es una medida muy difícil de manejar y hacer seguimiento, se debería mejor hacer diálogo con estas personas y que puedan realizar su trabajo con ciertas condiciones como cuidar la imagen de la ciudad al no dejar regado en la calle lo que no les sirve, si no, recoger esto en otra bolsa para que sea de fácil recolección por parte de las empresas recolectoras de basura.  ;Esto involucraría el uso de mas recursos y tiempo para disponer el buen manejo de estos desechos, además de que si no se recogen al momento estos basuras que quedan fuera de la bolsa podrían empeorar el estado de la ciudad, podría haber hasta incluso enfermedades si no se toma una decisión ahora;La prohibición no será una medida efectiva, desde que son personas en situación de calle a las cuales no les puedes cobrar una multa o algo parecido por no acatar una ley, tampoco funcionaria la medida de castigos mas fuertes, es muy difícil hacer el seguimiento a cada uno de los recicladores de la cuidad para que no realicen estas cosas y aparte estas personas podrían optar por conseguir dinero de maneras como robar en lugar de reciclar, agravando así aún mas el problema    ;Los recicladores informales deben tener en cuenta que para poder manipular basuras en la calles deben contar con cierto protocolo e instrumentos adecuados. Estoy a favor de la prohibición pues les facilita a las entidades de aseo, la recolección de las mismas, se debe buscar alternativas para que los recicladores informales no pierdan su actividad, y puedan hacerlo dentro del marco del debido proceso de esta actividad.;Si debería prohibirlo, ya que las condiciones en las que los recicladores están manipulando las basuras no representa las condiciones más adecuadas en temas de salubridad para ellos ni para la ciudadanía. Además, esto dificulta la labor de recolección de basuras por parte de las empresas privadas. Los recicladores informales SI deberían poder manipular las basuras, pero no en las calles donde las condiciones no son las mejores. La Alcaldía debería facilitar espacios para que los recicladores informales puedan continuar con su labor, regulando las condiciones en las que se encuentran para asegurarse de que sean óptimas. De esta forma, se facilita el trabajo de las empresas de aseo, y no se pone a los recicladores informales en una situación de vulnerabilidad económica quitándoles su trabajo. Solo se aseguraría así de que sea lo mejor para todos.;1;k1hxkkab;;;;;0
2;3gfleihj;;0;39;39;results;Final;2024-11-08 18:05:35.490150;1;;;64000.0;2;;0.0;0;1;0;3;2;8000;2000;4000;6000;8000;20000;4000;Las valoré de manera que siguieran una coherencia en ambas respuestas, además, que no solo tuviera en cuenta el problema más notorio, si no que abarcara todos los problemas que se pueden generar a partir de una decisión  ;1;0;0;Debido a que se generan residuos en las calles por la manipulación de la basura, por lo que podría empeorar el estado de dichas basuras en las calles, al dejar basura fuera de las bolsas, pueden llegar animales como ratas.  Al prohibir dicha manipulación, el estado estará en la disposición total de evitar estos tipo de escombros, mejorando la calidad de los habitantes y la ciudad. ;Hay muchos recicladores informales que quedarán en vulnerabilidad, además, es una medida muy difícil de manejar y hacer seguimiento, se debería mejor hacer diálogo con estas personas y que puedan realizar su trabajo con ciertas condiciones como cuidar la imagen de la ciudad al no dejar regado en la calle lo que no les sirve, si no, recoger esto en otra bolsa para que sea de fácil recolección por parte de las empresas recolectoras de basura.  ;Esto involucraría el uso de mas recursos y tiempo para disponer el buen manejo de estos desechos, además de que si no se recogen al momento estos basuras que quedan fuera de la bolsa podrían empeorar el estado de la ciudad, podría haber hasta incluso enfermedades si no se toma una decisión ahora;La prohibición no será una medida efectiva, desde que son personas en situación de calle a las cuales no les puedes cobrar una multa o algo parecido por no acatar una ley, tampoco funcionaria la medida de castigos mas fuertes, es muy difícil hacer el seguimiento a cada uno de los recicladores de la cuidad para que no realicen estas cosas y aparte estas personas podrían optar por conseguir dinero de maneras como robar en lugar de reciclar, agravando así aún mas el problema    ;Los recicladores informales deben tener en cuenta que para poder manipular basuras en la calles deben contar con cierto protocolo e instrumentos adecuados. Estoy a favor de la prohibición pues les facilita a las entidades de aseo, la recolección de las mismas, se debe buscar alternativas para que los recicladores informales no pierdan su actividad, y puedan hacerlo dentro del marco del debido proceso de esta actividad.;Si debería prohibirlo, ya que las condiciones en las que los recicladores están manipulando las basuras no representa las condiciones más adecuadas en temas de salubridad para ellos ni para la ciudadanía. Además, esto dificulta la labor de recolección de basuras por parte de las empresas privadas. Los recicladores informales SI deberían poder manipular las basuras, pero no en las calles donde las condiciones no son las mejores. La Alcaldía debería facilitar espacios para que los recicladores informales puedan continuar con su labor, regulando las condiciones en las que se encuentran para asegurarse de que sean óptimas. De esta forma, se facilita el trabajo de las empresas de aseo, y no se pone a los recicladores informales en una situación de vulnerabilidad económica quitándoles su trabajo. Solo se aseguraría así de que sea lo mejor para todos.;1;k1hxkkab;;;;;0
3;sc8lbs96;;0;39;39;results;Final;2024-11-08 18:05:35.500255;1;;;64000.0;1;;0.0;1;1;0;2;2;6000;8000;2000;4000;6000;18000;4000;Considero que mi pareja argumento de una manera robusta y concisa. Mostro argumentos de calidad que deja en claro su posición. Por mi parte, siento que fui muy concreto y exacto en lo que quería presentar, tanto el argumento de mi parejea como el mío van muy a fin.;2;0;0;Los recicladores informales deben tener en cuenta que para poder manipular basuras en la calles deben contar con cierto protocolo e instrumentos adecuados. Estoy a favor de la prohibición pues les facilita a las entidades de aseo, la recolección de las mismas, se debe buscar alternativas para que los recicladores informales no pierdan su actividad, y puedan hacerlo dentro del marco del debido proceso de esta actividad.;Si debería prohibirlo, ya que las condiciones en las que los recicladores están manipulando las basuras no representa las condiciones más adecuadas en temas de salubridad para ellos ni para la ciudadanía. Además, esto dificulta la labor de recolección de basuras por parte de las empresas privadas. Los recicladores informales SI deberían poder manipular las basuras, pero no en las calles donde las condiciones no son las mejores. La Alcaldía debería facilitar espacios para que los recicladores informales puedan continuar con su labor, regulando las condiciones en las que se encuentran para asegurarse de que sean óptimas. De esta forma, se facilita el trabajo de las empresas de aseo, y no se pone a los recicladores informales en una situación de vulnerabilidad económica quitándoles su trabajo. Solo se aseguraría así de que sea lo mejor para todos.;Comparto la idea de que la alcaldía debería facilitar el espacio para que los recicladores informales no se queden sin su labor. Siento que esto radica en presentar alternativas para ambas partes, para de esta manera facilitar el proceso de recolección de basuras. ;"No se debería prohibir que los recicladores puedan manipular las basuras en las calles porque eso los posiciona en una situación de vulnerabilidad económica muy fuerte. Idealmente la Alcaldía debería brindarle a estas personas los protocolos e instrumentos para hacer su labor, sin embargo, se sabe que en la mayoría de los casos esto no funciona así y las entidades estatales dejan desprotegidas a estas poblaciones. Por lo tanto, al quitarles su único medio de subsistencia sin garantizarle de forma real unas buenas condiciones laborales, solo pondría a los recicladores en gran desventaja. El Estado deja desamparadas a las poblaciones poniendo este tipo de prohibiciones y no les garantiza trabajo ""digno"" o estable, por lo que su labor no se debería prohibir.";Debido a que se generan residuos en las calles por la manipulación de la basura, por lo que podría empeorar el estado de dichas basuras en las calles, al dejar basura fuera de las bolsas, pueden llegar animales como ratas.  Al prohibir dicha manipulación, el estado estará en la disposición total de evitar estos tipo de escombros, mejorando la calidad de los habitantes y la ciudad. ;Hay muchos recicladores informales que quedarán en vulnerabilidad, además, es una medida muy difícil de manejar y hacer seguimiento, se debería mejor hacer diálogo con estas personas y que puedan realizar su trabajo con ciertas condiciones como cuidar la imagen de la ciudad al no dejar regado en la calle lo que no les sirve, si no, recoger esto en otra bolsa para que sea de fácil recolección por parte de las empresas recolectoras de basura.  ;1;k1hxkkab;;;;;0
4;tozx4h6f;;0;39;39;results;Final;2024-11-08 18:05:35.511386;1;;;64000.0;2;;0.0;0;1;0;3;3;8000;6000;2000;4000;14000;30000;0;Valoré la calidad de argumentación con la cantidad de argumentos que presentara que fueran presentados de manera lógica y coherente, siguiendo un hilo conductor;2;0;0;Los recicladores informales deben tener en cuenta que para poder manipular basuras en la calles deben contar con cierto protocolo e instrumentos adecuados. Estoy a favor de la prohibición pues les facilita a las entidades de aseo, la recolección de las mismas, se debe buscar alternativas para que los recicladores informales no pierdan su actividad, y puedan hacerlo dentro del marco del debido proceso de esta actividad.;Si debería prohibirlo, ya que las condiciones en las que los recicladores están manipulando las basuras no representa las condiciones más adecuadas en temas de salubridad para ellos ni para la ciudadanía. Además, esto dificulta la labor de recolección de basuras por parte de las empresas privadas. Los recicladores informales SI deberían poder manipular las basuras, pero no en las calles donde las condiciones no son las mejores. La Alcaldía debería facilitar espacios para que los recicladores informales puedan continuar con su labor, regulando las condiciones en las que se encuentran para asegurarse de que sean óptimas. De esta forma, se facilita el trabajo de las empresas de aseo, y no se pone a los recicladores informales en una situación de vulnerabilidad económica quitándoles su trabajo. Solo se aseguraría así de que sea lo mejor para todos.;Comparto la idea de que la alcaldía debería facilitar el espacio para que los recicladores informales no se queden sin su labor. Siento que esto radica en presentar alternativas para ambas partes, para de esta manera facilitar el proceso de recolección de basuras. ;"No se debería prohibir que los recicladores puedan manipular las basuras en las calles porque eso los posiciona en una situación de vulnerabilidad económica muy fuerte. Idealmente la Alcaldía debería brindarle a estas personas los protocolos e instrumentos para hacer su labor, sin embargo, se sabe que en la mayoría de los casos esto no funciona así y las entidades estatales dejan desprotegidas a estas poblaciones. Por lo tanto, al quitarles su único medio de subsistencia sin garantizarle de forma real unas buenas condiciones laborales, solo pondría a los recicladores en gran desventaja. El Estado deja desamparadas a las poblaciones poniendo este tipo de prohibiciones y no les garantiza trabajo ""digno"" o estable, por lo que su labor no se debería prohibir.";Debido a que se generan residuos en las calles por la manipulación de la basura, por lo que podría empeorar el estado de dichas basuras en las calles, al dejar basura fuera de las bolsas, pueden llegar animales como ratas.  Al prohibir dicha manipulación, el estado estará en la disposición total de evitar estos tipo de escombros, mejorando la calidad de los habitantes y la ciudad. ;Hay muchos recicladores informales que quedarán en vulnerabilidad, además, es una medida muy difícil de manejar y hacer seguimiento, se debería mejor hacer diálogo con estas personas y que puedan realizar su trabajo con ciertas condiciones como cuidar la imagen de la ciudad al no dejar regado en la calle lo que no les sirve, si no, recoger esto en otra bolsa para que sea de fácil recolección por parte de las empresas recolectoras de basura.  ;1;k1hxkkab;;;;;0
5;t38ifg4p;;0;39;39;results;Final;2024-11-08 18:05:35.518061;1;;;64000.0;1;;0.0;0;1;1;1;2;8000;6000;4000;2000;8000;22000;4000;La calidad de la argumentación de mi pareja fue clara, tenia un buen hilo conductor, coherencia, y buenos argumentos con los cuales defendía y hacia valer su punto de vista. Desde mi argumentación, considero que fue clara, concisa y resalte varios puntos clave que se debían tener presente al momento de dar la valoración, además, de los puntos mencionados anteriormente que los de mi pareja.;3;1;0;La Alcaldía debe prohibir la manipulación de basuras en la calle porque, si bien esto puede ser negativo para los recicladores informales, también se debe tener presente que por un lado esto esta generando un problema de basuras regadas por la calle que no solo afecta la estética de la ciudad, sino que además puede atraer roedores, insectos y puede convertirse en una problemática de sanidad publica de no ser atendida. Ya se han establecido mesas de diálogos y ninguna de las partes ha llegado a una solución lo cual es desafortunado, pero este problema puede convertirse en un problema aun mayor si no es atendido.;No se debería prohibir que los recicladores informales trabajen, debido a que esto representa una situación en donde ellos obtiene dinero de una manera honesta y honorable, además, cada día la contaminación y el cambio climático afecta a todas las personas, fauna y flora de nuestra cuidad como pais. y ellos realizan un trabajo que muy pocas personas son capaces de realizar en pro del cuidado ambiental. También, es un sustento para miles de familias colombianas que no tiene acceso fácilmente a un trabajo o educación, y que por medio de su trabajo informal pueden mantener día a día a su familia.;Los recolectores de basura informal al realizar sus actividades diarias, no tienen presente qué pueden estar obstaculizando a las empresas de aseo, ya que cuentan con las herramientas y vehículos apropiados para una buena recolección de desechos, además, de que es una manera sencilla y rápida, lo cual ayuda tener las calles limpias sin que diferentes plagas infesten a las personas o animales.;No debería prohibírseles a los recicladores trabajar con las basuras por varias razones: por un lado esta problemática no solo tiene que ver con ellos sino con las empresas que dan un manejo inadecuado a las basuras no separándolas como es debido lo que es igual de grave a regarlas por la calle y ademas termina complicando el trabajo de los recicladores informales. Por otro lado, el trabajo de los informales es necesario pues brindan un aprovechamiento a recursos que son descartados y los cuales aun pueden tener vida util. tambien hay que considerar que este es un trabajo honrado, con el pueden dar sustento a sus familias y que la informalidad en nuestro pais esta en cifras alarmantes.;Estoy a favor de que los recicladores informales tengan su trabajo ya que es un sustento para ellos y su familia, se puede llegar a un acuerdo con la empresa con que ellos pueden trabajar algunas zonas y la empresa otras, por ejemplo en las parte periféricas donde no pueda ir el carro, los trabajadores informales pueden hacer su labor ahí y cuidar de donde ellos mismo viven, pero la idea es que por ambas partes tengan trabajo, lo menciono por que conozco a familias que viven del trabajo en reciclar.;;1;k1hxkkab;;;;;0
6;vdz27tkv;;0;39;39;results;Final;2024-11-08 18:05:35.525780;1;;;64000.0;2;;0.0;1;1;0;1;1;8000;6000;4000;2000;6000;20000;0;En el caso de mi argumento, considero que esta bastante bien considerando que es una posición con la que no estoy de acuerdo. En el caso del argumento de mi pareja, también me parece que es muy acertado porque la labor de los recicladores informales es muy importante y en un país con tan altos índices de informalidad como es el nuestro, me parece supremamente desacertado afectar a tantas personas que viven del reciclaje como forma de ganarse la vida.;3;1;0;La Alcaldía debe prohibir la manipulación de basuras en la calle porque, si bien esto puede ser negativo para los recicladores informales, también se debe tener presente que por un lado esto esta generando un problema de basuras regadas por la calle que no solo afecta la estética de la ciudad, sino que además puede atraer roedores, insectos y puede convertirse en una problemática de sanidad publica de no ser atendida. Ya se han establecido mesas de diálogos y ninguna de las partes ha llegado a una solución lo cual es desafortunado, pero este problema puede convertirse en un problema aun mayor si no es atendido.;No se debería prohibir que los recicladores informales trabajen, debido a que esto representa una situación en donde ellos obtiene dinero de una manera honesta y honorable, además, cada día la contaminación y el cambio climático afecta a todas las personas, fauna y flora de nuestra cuidad como pais. y ellos realizan un trabajo que muy pocas personas son capaces de realizar en pro del cuidado ambiental. También, es un sustento para miles de familias colombianas que no tiene acceso fácilmente a un trabajo o educación, y que por medio de su trabajo informal pueden mantener día a día a su familia.;Los recolectores de basura informal al realizar sus actividades diarias, no tienen presente qué pueden estar obstaculizando a las empresas de aseo, ya que cuentan con las herramientas y vehículos apropiados para una buena recolección de desechos, además, de que es una manera sencilla y rápida, lo cual ayuda tener las calles limpias sin que diferentes plagas infesten a las personas o animales.;No debería prohibírseles a los recicladores trabajar con las basuras por varias razones: por un lado esta problemática no solo tiene que ver con ellos sino con las empresas que dan un manejo inadecuado a las basuras no separándolas como es debido lo que es igual de grave a regarlas por la calle y ademas termina complicando el trabajo de los recicladores informales. Por otro lado, el trabajo de los informales es necesario pues brindan un aprovechamiento a recursos que son descartados y los cuales aun pueden tener vida util. tambien hay que considerar que este es un trabajo honrado, con el pueden dar sustento a sus familias y que la informalidad en nuestro pais esta en cifras alarmantes.;Estoy a favor de que los recicladores informales tengan su trabajo ya que es un sustento para ellos y su familia, se puede llegar a un acuerdo con la empresa con que ellos pueden trabajar algunas zonas y la empresa otras, por ejemplo en las parte periféricas donde no pueda ir el carro, los trabajadores informales pueden hacer su labor ahí y cuidar de donde ellos mismo viven, pero la idea es que por ambas partes tengan trabajo, lo menciono por que conozco a familias que viven del trabajo en reciclar.;;1;k1hxkkab;;;;;0
7;2av5nbe5;;0;39;39;results;Final;2024-11-08 18:05:35.549595;1;;;48000.0;1;;0.0;1;1;1;2;1;8000;4000;2000;6000;4000;20000;0;Me pareció una argumentación acertada, ya que concluí que el trabajo de los recicladores informales, primero es un derecho al trabajo que por ente toda persona puede hacerlo se forma o informal, por ejemplo;;;;;;;;;;;;;;;;
8;akn7tcv5;;0;39;39;results;Final;2024-11-08 18:05:35.687425;1;;;64000.0;2;;0.0;0;1;0;1;2;6000;8000;4000;2000;8000;18000;4000;Valore la calidad de mi argumentación y la de mi pareja, basandome en la estructura argumentativa que se utilizo, que tan persuasivos eran los argumentos utilizados y si tenia congruencia con la postura de cada uno. ;4;0;0;Estoy a favor de que los recicladores informales tengan su trabajo ya que es un sustento para ellos y su familia, se puede llegar a un acuerdo con la empresa con que ellos pueden trabajar algunas zonas y la empresa otras, por ejemplo en las parte periféricas donde no pueda ir el carro, los trabajadores informales pueden hacer su labor ahí y cuidar de donde ellos mismo viven, pero la idea es que por ambas partes tengan trabajo, lo menciono por que conozco a familias que viven del trabajo en reciclar.;;NO debe prohibirla por que es un sustento diario de varias familias y la empresa de basura no puede siempre recogerla en partes periféricas  por que son zonas ya sea creadas por los mismas personas desplazadas, abandonas etc. Opinó que es algo comunitario en algunas zonas donde donde pueda llegar el carro de basura y en otras no, y donde los recicladores hacen su labor.;Me parece una opinión acertada, ya que el permitirle a los trabajadores informales que manipulen basuras en la calle, permite optimizar el proceso de recolección de basuras y el del reciclaje, si se logran obtener unos acuerdos claros en la metodología, los espacios y los momentos en que los recicladores podrán manipular la basura de la calle. Consecuentemente, se respeta el derecho al trabajo de los recicladores y se consolida una forma menos laboriosa para los recolectores de basura, de realizar su trabajo. Por lo tanto, estoy de acuerdo con la argumentación. ;La Alcaldía debe prohibir la manipulación de basuras en la calle porque, si bien esto puede ser negativo para los recicladores informales, también se debe tener presente que por un lado esto esta generando un problema de basuras regadas por la calle que no solo afecta la estética de la ciudad, sino que además puede atraer roedores, insectos y puede convertirse en una problemática de sanidad publica de no ser atendida. Ya se han establecido mesas de diálogos y ninguna de las partes ha llegado a una solución lo cual es desafortunado, pero este problema puede convertirse en un problema aun mayor si no es atendido.;No se debería prohibir que los recicladores informales trabajen, debido a que esto representa una situación en donde ellos obtiene dinero de una manera honesta y honorable, además, cada día la contaminación y el cambio climático afecta a todas las personas, fauna y flora de nuestra cuidad como pais. y ellos realizan un trabajo que muy pocas personas son capaces de realizar en pro del cuidado ambiental. También, es un sustento para miles de familias colombianas que no tiene acceso fácilmente a un trabajo o educación, y que por medio de su trabajo informal pueden mantener día a día a su familia.;1;k1hxkkab;;;;;0
9;fewonbrz;;0;39;39;results;Final;2024-11-08 18:05:35.716452;1;;;80000.0;1;;0.0;1;1;0;1;2;8000;6000;4000;2000;4000;18000;4000;Considere la objetividad de la respuesta y como la sociedad (en este caso la ciudad) se ve afectada, la mejor respuesta es la que minimizaba la afectación de la ciudad.;5;1;0;Siendo objetivos sabemos que la si no se toma esta medida la afectación a la sociedad es mucho mayor a la afectación de la decisión contraria dado que los malos manejos de las basuras afectan de manera económica a los negocios y a la ciudad, además de esto la afectación a la salud puede desencadenar una problemática mucho mayor llevando a que la no prohibición genere mas problemas de los que soluciona. ;pienso que en cambio de prohibir los recicladores informales, se debería llegar a un acuerdo para que ambas partes colaboren y trabajen en equipo;;;;;;;;;;;
10;cqd95f9g;;0;39;39;results;Final;2024-11-08 18:05:35.708030;1;;;40000.0;2;;0.0;0;1;0;2;2;8000;6000;4000;2000;10000;24000;4000;la calidad estuvo muy buena porque en la mayoría de los casos se trato de llegar a algo que beneficiara a ambas partes, claro está que en algunas preguntas se debía tomar una sola posición, pero para mi la calidad de todos los argumentos que pude ver, estuvo bastante buena;5;1;0;Siendo objetivos sabemos que la si no se toma esta medida la afectación a la sociedad es mucho mayor a la afectación de la decisión contraria dado que los malos manejos de las basuras afectan de manera económica a los negocios y a la ciudad, además de esto la afectación a la salud puede desencadenar una problemática mucho mayor llevando a que la no prohibición genere mas problemas de los que soluciona. ;pienso que en cambio de prohibir los recicladores informales, se debería llegar a un acuerdo para que ambas partes colaboren y trabajen en equipo;;;;;;;;;;;
