participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.p_selection_1,player.p_selection_2,player.p_selection_3,player.p_selection_4,player.p_selection_5,player.p_selection_6,player.p_selection_7,player.p_selection_8,player.p_selection_9,player.p_selection_10,player.p_selection_11,player.p_selection_12,player.p_selection_13,player.p_selection_14,player.p_selection_15,player.p_selection_16,player.p_selection_17,player.p_selection_18,player.p_selection_19,player.p_selection_20,player.p_selection_21,player.p_selection_22,player.p_selection_23,player.p_selection_24,player.p_selection_25,player.p_selection_26,player.p_selection_27,player.p_selection_28,player.age,player.gender_sex,player.major,player.semester,player.stratum,player.experiments,player.income,player.mother_educ,player.father_educ,player.income_stair,player.risk_measure,player.G_trust,player.patience,player.punish_justice,player.payoff_complete,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,i0g0hve8,,0,39,39,results,Final,2024-11-08 18:05:35.472990,1,,,56000.0,1,,0.0,5,4,1,4,4,4,3,4,2,5,4,4,2,5,3,4,5,3,2,2,2,4,5,4,5,5,3,5,21,0,8,4,2,1,100000,3,0,7,5,5,2,3,,1,1,k1hxkkab,,,,,0
2,3gfleihj,,0,39,39,results,Final,2024-11-08 18:05:35.490150,1,,,64000.0,2,,0.0,2,2,3,2,1,3,4,4,3,1,4,2,2,2,2,1,2,1,3,2,4,2,1,2,3,3,2,4,20,1,17,7,3,1,300000,4,2,7,6,4,4,3,,1,1,k1hxkkab,,,,,0
3,sc8lbs96,,0,39,39,results,Final,2024-11-08 18:05:35.500255,1,,,64000.0,1,,0.0,3,2,1,2,1,1,2,4,3,1,4,1,2,2,2,3,2,2,3,1,3,3,3,2,3,4,2,4,19,0,17,4,3,0,700000,4,3,6,7,4,5,3,,2,1,k1hxkkab,,,,,0
4,tozx4h6f,,0,39,39,results,Final,2024-11-08 18:05:35.511386,1,,,64000.0,2,,0.0,5,5,1,1,3,2,1,4,3,4,4,2,1,1,2,3,4,1,2,5,5,5,3,2,4,4,3,4,20,1,32,7,4,1,250000,5,5,6,6,3,3,2,,2,1,k1hxkkab,,,,,0
5,t38ifg4p,,0,39,39,results,Final,2024-11-08 18:05:35.518061,1,,,64000.0,1,,0.0,1,3,4,3,5,4,1,5,5,3,5,3,3,3,5,5,5,2,3,4,5,5,5,2,1,5,5,1,22,1,27,10,2,1,2000,3,5,2,0,5,3,1,,3,1,k1hxkkab,,,,,0
6,vdz27tkv,,0,39,39,results,Final,2024-11-08 18:05:35.525780,1,,,64000.0,2,,0.0,5,5,1,1,5,5,1,5,5,3,5,1,1,1,3,5,5,1,1,5,5,5,5,3,1,5,3,3,20,0,32,5,2,1,20000,3,3,5,4,5,5,2,,3,1,k1hxkkab,,,,,0
7,2av5nbe5,,0,39,39,results,Final,2024-11-08 18:05:35.549595,1,,,48000.0,1,,0.0,2,1,1,1,1,3,3,5,3,4,5,2,5,1,5,3,5,1,5,5,5,3,3,1,4,5,1,3,21,1,9,3,1,1,1000000,4,4,5,10,0,3,1,,4,1,k1hxkkab,,,,,0
8,akn7tcv5,,0,39,39,results,Final,2024-11-08 18:05:35.687425,1,,,64000.0,2,,0.0,3,4,2,2,2,2,2,4,2,1,4,1,3,1,1,3,2,1,4,2,4,3,2,1,3,2,1,3,25,0,26,9,5,1,100000,4,5,8,7,5,4,2,,4,1,k1hxkkab,,,,,0
9,fewonbrz,,0,39,39,results,Final,2024-11-08 18:05:35.716452,1,,,80000.0,1,,0.0,4,3,4,4,3,3,4,5,5,4,4,4,3,3,4,5,5,4,3,3,3,4,4,4,5,4,3,1,19,0,17,6,3,1,200000,4,5,7,8,7,3,2,,5,1,k1hxkkab,,,,,0
10,cqd95f9g,,0,39,39,results,Final,2024-11-08 18:05:35.708030,1,,,40000.0,2,,0.0,5,3,2,2,1,1,4,3,3,2,3,3,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,19,1,23,3,6,1,250000,5,5,7,6,6,3,2,,5,1,k1hxkkab,,,,,0
11,ab0ukpg2,,0,39,39,results,Final,2024-11-08 18:05:35.743446,1,,,72000.0,1,,0.0,5,4,1,1,4,4,3,5,3,4,5,1,2,2,2,5,5,1,3,4,5,4,5,3,4,5,2,4,19,1,17,6,3,1,70000,4,3,6,4,6,4,2,,6,1,k1hxkkab,,,,,0
12,ixp6t6rj,,0,39,39,results,Final,2024-11-08 18:05:35.807287,1,,,56000.0,2,,0.0,5,5,1,1,2,3,2,5,4,4,5,1,1,5,2,4,5,1,5,5,5,5,4,5,2,4,3,4,25,1,32,0,3,1,200000,4,4,4,4,5,3,2,,6,1,k1hxkkab,,,,,0
